Country Name,Country Code,Time,Time Code,Gross value added at basic prices (GVA) (current LCU) [NY.GDP.FCST.CN],"Official exchange rate (LCU per US$, period average) [PA.NUS.FCRF]","Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]","Foreign direct investment, net outflows (% of GDP) [BM.KLT.DINV.WD.GD.ZS]",Imports of goods and services (constant LCU) [NE.IMP.GNFS.KN],Exports of goods and services (constant LCU) [NE.EXP.GNFS.KN],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]"
United States,USA,1992,YR1992,6.07E+12,1,0.464853987,0.901335163,7.69E+11,7.53E+11,3.028819678
United States,USA,1993,YR1993,6.39E+12,1,0.732369584,1.207250678,8.36E+11,7.78E+11,2.951656966
United States,USA,1994,YR1994,6.77E+12,1,0.767643589,1.234898938,9.36E+11,8.47E+11,2.607441592
United States,USA,1995,YR1995,7.12E+12,1,0.904218188,1.440623246,1.01E+12,9.34E+11,2.805419689
United States,USA,1996,YR1996,7.53E+12,1,1.209693103,1.276086253,1.10E+12,1.01E+12,2.9312042
United States,USA,1997,YR1997,8.26E+12,1,1.424065981,1.41508906,1.25E+12,1.13E+12,2.337689937
United States,USA,1998,YR1998,8.73E+12,1,2.329849538,1.928318756,1.39E+12,1.16E+12,1.552279099
United States,USA,1999,YR1999,9.28E+12,1,3.24414308,2.569624964,1.55E+12,1.21E+12,2.188027197
United States,USA,2000,YR2000,9.88E+12,1,3.405781239,1.818075043,1.76E+12,1.32E+12,3.376857271
United States,USA,2001,YR2001,1.02E+13,1,1.630099767,1.38009809,1.71E+12,1.24E+12,2.826171119
United States,USA,2002,YR2002,1.05E+13,1,1.016139652,1.637690834,1.77E+12,1.22E+12,1.586031627
United States,USA,2003,YR2003,1.11E+13,1,1.02218401,1.704000803,1.87E+12,1.24E+12,2.270094973
United States,USA,2004,YR2004,1.18E+13,1,1.748690943,3.061291642,2.07E+12,1.36E+12,2.677236693
United States,USA,2005,YR2005,1.26E+13,1,1.091662316,0.403330052,2.21E+12,1.46E+12,3.392746845
United States,USA,2006,YR2006,1.33E+13,1,2.160335905,2.054209366,2.35E+12,1.60E+12,3.225944101
United States,USA,2007,YR2007,1.40E+13,1,2.394690757,3.61946765,2.41E+12,1.74E+12,2.852672482
United States,USA,2008,YR2008,1.42E+13,1,2.309378381,2.326243806,2.36E+12,1.84E+12,3.839100297
United States,USA,2009,YR2009,1.40E+13,1,1.112600183,2.15910729,2.06E+12,1.68E+12,-0.355546266
United States,USA,2010,YR2010,1.45E+13,1,1.754531921,2.324597476,2.32E+12,1.90E+12,1.640043442
United States,USA,2011,YR2011,1.51E+13,1,1.689112351,2.798868596,2.44E+12,2.03E+12,3.156841569
United States,USA,2012,YR2012,1.57E+13,1,1.540208331,2.320909907,2.50E+12,2.11E+12,2.069337265
United States,USA,2013,YR2013,1.62E+13,1,1.70686814,2.32689637,2.53E+12,2.18E+12,1.464832656
United States,USA,2014,YR2014,1.69E+13,1,1.430338631,2.200851674,2.66E+12,2.26E+12,1.622222977
United States,USA,2015,YR2015,1.75E+13,1,2.795482202,1.651110611,2.79E+12,2.27E+12,0.118627136
United States,USA,2016,YR2016,1.80E+13,1,2.522681174,1.594343989,2.84E+12,2.28E+12,1.261583206
United States,USA,2017,YR2017,1.88E+13,1,1.941775542,2.087552879,2.97E+12,2.38E+12,2.130110004
United States,USA,2018,YR2018,1.98E+13,1,1.039454088,-0.632826949,3.09E+12,2.44E+12,2.442583297
United States,USA,2019,YR2019,2.06E+13,1,1.466965014,0.533551978,3.13E+12,2.46E+12,1.812210075
United States,USA,2020,YR2020,2.03E+13,1,0.641871902,1.322139233,2.84E+12,2.13E+12,1.233584396
United States,USA,2021,YR2021,2.25E+13,1,2.009212298,1.443991093,3.26E+12,2.27E+12,4.697858864
United States,USA,2022,YR2022,,1,1.572590774,1.493873182,3.54E+12,2.44E+12,8.002799821
United States,USA,2023,YR2023,,1,1.258207357,1.638067771,3.50E+12,2.51E+12,4.116338384
United Kingdom,GBR,1974,YR1974,84945908000,0.42775644,2.121823274,2.122912937,98163206000,1.15E+11,16.04401119
United Kingdom,GBR,1975,YR1975,1.06E+11,0.452041166,1.372676187,1.241209958,91691184000,1.11E+11,24.20728767
United Kingdom,GBR,1976,YR1976,1.26E+11,0.556509832,1.292355806,1.8648244,96421143000,1.21E+11,16.55952256
United Kingdom,GBR,1977,YR1977,1.45E+11,0.573271999,1.682672051,1.586345228,98274648000,1.30E+11,15.84026675
United Kingdom,GBR,1978,YR1978,1.67E+11,0.521504582,1.127586247,2.029000378,1.02E+11,1.32E+11,8.263141039
United Kingdom,GBR,1979,YR1979,1.95E+11,0.472181166,1.473705819,2.856317973,1.12E+11,1.37E+11,13.42127998
United Kingdom,GBR,1980,YR1980,2.27E+11,0.430294999,1.791819689,1.987611888,1.08E+11,1.37E+11,17.96592427
United Kingdom,GBR,1981,YR1981,2.50E+11,0.497641332,1.087231673,2.247450456,1.05E+11,1.36E+11,11.87662651
United Kingdom,GBR,1982,YR1982,2.72E+11,0.572446832,1.05101857,1.390731641,1.10E+11,1.37E+11,8.598863833
United Kingdom,GBR,1983,YR1983,2.97E+11,0.659724582,1.057718801,1.671521008,1.17E+11,1.40E+11,4.609303273
United Kingdom,GBR,1984,YR1984,3.18E+11,0.751806666,-0.075261594,1.728613281,1.29E+11,1.50E+11,4.960710978
United Kingdom,GBR,1985,YR1985,3.48E+11,0.779246,1.11928039,2.167752298,1.32E+11,1.58E+11,6.07139434
United Kingdom,GBR,1986,YR1986,3.72E+11,0.682197333,1.42482067,2.829539708,1.41E+11,1.65E+11,3.427609404
United Kingdom,GBR,1987,YR1987,4.10E+11,0.6119265,1.754640337,3.881714377,1.52E+11,1.75E+11,4.148922321
United Kingdom,GBR,1988,YR1988,4.57E+11,0.562170167,2.904105168,4.574775366,1.72E+11,1.76E+11,4.155351716
United Kingdom,GBR,1989,YR1989,5.03E+11,0.61117275,2.92466122,3.385344613,1.85E+11,1.84E+11,5.760249092
United Kingdom,GBR,1990,YR1990,5.45E+11,0.563177167,3.78380568,2.559849602,1.86E+11,1.93E+11,8.063460909
United Kingdom,GBR,1991,YR1991,5.71E+11,0.567015333,2.033973017,2.060436038,1.77E+11,1.94E+11,7.461782957
United Kingdom,GBR,1992,YR1992,5.95E+11,0.569774167,1.950665447,2.216811546,1.89E+11,2.03E+11,4.591549296
United Kingdom,GBR,1993,YR1993,6.29E+11,0.666756553,1.854764189,2.866226362,1.96E+11,2.12E+11,2.558577969
United Kingdom,GBR,1994,YR1994,6.66E+11,0.653426604,1.71516995,3.834558685,2.07E+11,2.31E+11,2.219012605
United Kingdom,GBR,1995,YR1995,7.73E+11,0.63366812,2.166968265,4.203778365,2.19E+11,2.53E+11,2.697495183
United Kingdom,GBR,1996,YR1996,8.27E+11,0.640958255,2.283151708,2.93835259,2.39E+11,2.71E+11,2.851782364
United Kingdom,GBR,1997,YR1997,8.62E+11,0.610836114,3.287298647,4.78557771,2.63E+11,3.05E+11,2.201143135
United Kingdom,GBR,1998,YR1998,9.00E+11,0.603823594,6.640741936,9.552834101,2.82E+11,3.14E+11,1.820561637
United Kingdom,GBR,1999,YR1999,9.36E+11,0.618056845,7.695772086,14.35841676,3.03E+11,3.25E+11,1.752950801
United Kingdom,GBR,2000,YR2000,9.88E+11,0.660930833,9.854512069,17.53471025,3.32E+11,3.57E+11,1.182956242
United Kingdom,GBR,2001,YR2001,1.03E+12,0.694655,3.39980591,4.692124144,3.52E+11,3.67E+11,1.532349603
United Kingdom,GBR,2002,YR2002,1.07E+12,0.667223333,5.026548637,6.770452989,3.69E+11,3.70E+11,1.520402459
United Kingdom,GBR,2003,YR2003,1.13E+12,0.6124725,1.752864088,3.995325309,3.75E+11,3.77E+11,1.376500385
United Kingdom,GBR,2004,YR2004,1.19E+12,0.54618,3.595239298,5.312341651,4.00E+11,3.96E+11,1.390397567
United Kingdom,GBR,2005,YR2005,1.26E+12,0.549998333,9.9345464,6.287814588,4.28E+11,4.26E+11,2.08913649
United Kingdom,GBR,2006,YR2006,1.33E+12,0.543486667,7.518583129,5.252280545,4.74E+11,4.80E+11,2.455661664
United Kingdom,GBR,2007,YR2007,1.39E+12,0.499771667,6.779300045,11.98492326,4.67E+11,4.72E+11,2.386561508
United Kingdom,GBR,2008,YR2008,1.44E+12,0.54396625,8.652048202,12.17637859,4.62E+11,4.85E+11,3.521408563
United Kingdom,GBR,2009,YR2009,1.41E+12,0.641919263,0.602903981,-2.005848435,4.30E+11,4.42E+11,1.961731736
United Kingdom,GBR,2010,YR2010,1.45E+12,0.647179346,2.68497359,2.189009626,4.68E+11,4.71E+11,2.492654725
United Kingdom,GBR,2011,YR2011,1.48E+12,0.624140836,1.014039752,3.034515618,4.82E+11,5.04E+11,3.856112447
United Kingdom,GBR,2012,YR2012,1.53E+12,0.633046989,1.726975994,0.444150056,4.94E+11,5.08E+11,2.573234797
United Kingdom,GBR,2013,YR2013,1.59E+12,0.639660578,1.95605174,1.660802198,5.10E+11,5.09E+11,2.291666667
United Kingdom,GBR,2014,YR2014,1.66E+12,0.607729627,1.921567748,-3.71700461,5.36E+11,5.14E+11,1.451120163
United Kingdom,GBR,2015,YR2015,1.71E+12,0.654545479,1.548321685,-2.055288345,5.63E+11,5.34E+11,0.368046842
United Kingdom,GBR,2016,YR2016,1.77E+12,0.740634464,12.07885281,1.223762287,5.85E+11,5.48E+11,1.008417368
United Kingdom,GBR,2017,YR2017,1.86E+12,0.776976682,4.677309144,6.419193347,6.04E+11,5.86E+11,2.557755776
United Kingdom,GBR,2018,YR2018,1.92E+12,0.74953154,-0.872604334,-0.997169642,6.22E+11,6.04E+11,2.292839903
United Kingdom,GBR,2019,YR2019,2.00E+12,0.78344511,0.694070008,-0.753954193,6.39E+11,6.16E+11,1.738104601
United Kingdom,GBR,2020,YR2020,1.90E+12,0.779999577,5.82864206,0.607703722,5.38E+11,5.43E+11,0.989486704
United Kingdom,GBR,2021,YR2021,2.05E+12,0.727064945,0.160847823,5.113966955,5.69E+11,5.61E+11,2.518371096
United Kingdom,GBR,2022,YR2022,2.27E+12,0.811301716,1.441788923,4.010521485,6.43E+11,6.31E+11,7.922048831
United Kingdom,GBR,2023,YR2023,2.46E+12,0.804538907,-2.645459686,1.890865403,6.21E+11,6.17E+11,6.793967068
United Arab Emirates,ARE,1974,YR1974,,3.959045156,0.013989607,,,,
United Arab Emirates,ARE,1975,YR1975,,3.961284999,0.108350617,,,,
United Arab Emirates,ARE,1976,YR1976,,3.953072499,0.257271595,,,,
United Arab Emirates,ARE,1977,YR1977,,3.903247499,0.451274584,,,,
United Arab Emirates,ARE,1978,YR1978,,3.871210832,0.164537297,,,,
United Arab Emirates,ARE,1979,YR1979,,3.815675832,0.206817088,,,,
United Arab Emirates,ARE,1980,YR1980,,3.707364999,0.223949268,-0.004587244,,,
United Arab Emirates,ARE,1981,YR1981,,3.670999999,-0.034337775,0.00608107,,,
United Arab Emirates,ARE,1982,YR1982,,3.670999999,0.203892014,0.017159017,,,
United Arab Emirates,ARE,1983,YR1983,,3.670999999,0.106393608,0.007008802,,,
United Arab Emirates,ARE,1984,YR1984,,3.671,0.407195241,0.023918893,,,
United Arab Emirates,ARE,1985,YR1985,,3.671,-0.544187527,0.027262566,,,
United Arab Emirates,ARE,1986,YR1986,,3.671,0.324685539,-0.068718689,,,
United Arab Emirates,ARE,1987,YR1987,,3.671,0.128404884,-0.030531678,,,
United Arab Emirates,ARE,1988,YR1988,,3.671,0.520707069,0.191892168,,,
United Arab Emirates,ARE,1989,YR1989,,3.671,0.093548785,0.008891998,,,
United Arab Emirates,ARE,1990,YR1990,,3.671,-0.11370759,-0.11370759,,,
United Arab Emirates,ARE,1991,YR1991,,3.671,0.020254881,0.020254881,,,
United Arab Emirates,ARE,1992,YR1992,,3.671,0.028017021,0.028017021,,,
United Arab Emirates,ARE,1993,YR1993,,3.671,0.055297736,0.055297736,,,
United Arab Emirates,ARE,1994,YR1994,,3.671,0.972936474,0.972936474,,,
United Arab Emirates,ARE,1995,YR1995,,3.671,0.095015799,0.095015799,,,
United Arab Emirates,ARE,1996,YR1996,,3.671,0.174814833,0.174814833,,,
United Arab Emirates,ARE,1997,YR1997,,3.671125,0.293169187,0.293169187,,,
United Arab Emirates,ARE,1998,YR1998,,3.6725,0.168220927,0.168220927,,,
United Arab Emirates,ARE,1999,YR1999,,3.6725,0.375516186,0.375516186,,,
United Arab Emirates,ARE,2000,YR2000,,3.6725,0.406054974,0.406054974,,,
United Arab Emirates,ARE,2001,YR2001,,3.6725,0.206851124,0.206851124,2.59E+11,3.58E+11,
United Arab Emirates,ARE,2002,YR2002,,3.6725,0.401686094,0.401686094,2.93E+11,3.70E+11,
United Arab Emirates,ARE,2003,YR2003,,3.6725,0.797088435,0.797088435,3.40E+11,4.54E+11,
United Arab Emirates,ARE,2004,YR2004,,3.6725,1.493664404,1.493664404,4.40E+11,5.66E+11,
United Arab Emirates,ARE,2005,YR2005,,3.6725,2.076377242,2.076377242,5.06E+11,6.31E+11,
United Arab Emirates,ARE,2006,YR2006,,3.6725,4.903625371,4.903625371,5.98E+11,7.03E+11,
United Arab Emirates,ARE,2007,YR2007,,3.6725,5.64824424,5.64824424,8.05E+11,7.66E+11,
United Arab Emirates,ARE,2008,YR2008,,3.6725,5.014761636,5.014761636,9.77E+11,8.61E+11,12.25042024
United Arab Emirates,ARE,2009,YR2009,,3.6725,1.073921658,1.073921658,8.24E+11,8.24E+11,1.561813174
United Arab Emirates,ARE,2010,YR2010,,3.6725,0.671243665,0.671243665,6.56E+11,8.75E+11,0.877983288
United Arab Emirates,ARE,2011,YR2011,,3.6725,0.603603765,0.603603765,7.81E+11,1.02E+12,0.877346596
United Arab Emirates,ARE,2012,YR2012,,3.6725,0.659371874,0.659371874,8.47E+11,1.18E+12,0.6622689
United Arab Emirates,ARE,2013,YR2013,,3.6725,2.205879342,2.205879342,9.16E+11,1.26E+12,1.101118364
United Arab Emirates,ARE,2014,YR2014,,3.6725,2.834037166,2.834037166,1.00E+12,1.31E+12,2.346268657
United Arab Emirates,ARE,2015,YR2015,,3.6725,4.507887066,4.507887066,9.48E+11,1.35E+12,4.069966084
United Arab Emirates,ARE,2016,YR2016,,3.6725,4.254887847,4.254887847,9.61E+11,1.42E+12,1.617488089
United Arab Emirates,ARE,2017,YR2017,,3.6725,3.600343405,3.600343405,9.93E+11,1.41E+12,1.966825578
United Arab Emirates,ARE,2018,YR2018,,3.6725,3.531041342,3.531041342,1.00E+12,1.43E+12,3.068633793
United Arab Emirates,ARE,2019,YR2019,,3.6725,5.078153576,5.078153576,1.06E+12,1.45E+12,-1.931081148
United Arab Emirates,ARE,2020,YR2020,,3.6725,5.418824679,5.418824679,1.11E+12,1.50E+12,-2.079403179
United Arab Emirates,ARE,2021,YR2021,,3.6725,5.430419471,5.430419471,1.20E+12,1.56E+12,0.179935336
United Arab Emirates,ARE,2022,YR2022,,3.6725,4.939654369,4.939654369,1.52E+12,1.69E+12,5.291226044
United Arab Emirates,ARE,2023,YR2023,,3.6725,4.342888221,4.342888221,1.71E+12,1.81E+12,1.626708372
France,FRA,1974,YR1974,1.85E+11,4.809618473,0.652289007,0.275560792,1.22E+11,1.22E+11,13.64931747
France,FRA,1975,YR1975,2.08E+11,4.287799515,0.438322409,0.375005662,1.11E+11,1.18E+11,11.68592725
France,FRA,1976,YR1976,2.39E+11,4.802878363,0.265252075,0.44457079,1.32E+11,1.29E+11,9.625495782
France,FRA,1977,YR1977,2.72E+11,4.905173323,0.466188695,0.246490663,1.34E+11,1.39E+11,9.494554672
France,FRA,1978,YR1978,3.08E+11,4.513099999,0.492594801,0.378935006,1.40E+11,1.47E+11,9.250558467
France,FRA,1979,YR1979,3.49E+11,4.254416666,0.425555764,0.326699408,1.52E+11,1.57E+11,10.64673417
France,FRA,1980,YR1980,3.98E+11,4.225574999,0.472661676,0.445648047,1.60E+11,1.61E+11,13.56257885
France,FRA,1981,YR1981,4.50E+11,5.434608333,0.405399422,0.746675114,1.58E+11,1.69E+11,13.31440557
France,FRA,1982,YR1982,5.15E+11,6.572099999,0.27420089,0.492721035,1.64E+11,1.66E+11,11.97847195
France,FRA,1983,YR1983,5.72E+11,7.621291666,0.311855278,0.309609285,1.60E+11,1.74E+11,9.459548472
France,FRA,1984,YR1984,6.22E+11,8.7391,0.456730859,0.403621688,1.65E+11,1.86E+11,7.673802622
France,FRA,1985,YR1985,6.65E+11,8.985225,0.474304325,0.409847301,1.72E+11,1.90E+11,5.831099739
France,FRA,1986,YR1986,7.20E+11,6.926091667,0.425633765,0.70635072,1.84E+11,1.89E+11,2.538525918
France,FRA,1987,YR1987,7.56E+11,6.010708333,0.554852757,0.994296117,1.99E+11,1.94E+11,3.288898214
France,FRA,1988,YR1988,8.17E+11,5.956941667,0.839896513,1.434083871,2.16E+11,2.11E+11,2.700815275
France,FRA,1989,YR1989,8.82E+11,6.380141667,1.013425453,1.9176556,2.34E+11,2.32E+11,3.498302207
France,FRA,1990,YR1990,9.34E+11,5.445275,1.048248019,2.768931982,2.45E+11,2.40E+11,3.19428338
France,FRA,1991,YR1991,9.70E+11,5.642116667,1.203590348,1.900910842,2.53E+11,2.56E+11,3.213407324
France,FRA,1992,YR1992,1.01E+12,5.293815833,1.571568078,2.250114493,2.57E+11,2.71E+11,2.363760463
France,FRA,1993,YR1993,1.02E+12,5.66323,1.578994724,1.567618234,2.49E+11,2.72E+11,2.104462771
France,FRA,1994,YR1994,1.05E+12,5.552045,1.139909485,1.763439663,2.71E+11,2.94E+11,1.655515329
France,FRA,1995,YR1995,1.09E+12,4.9914825,1.487964708,0.991773344,2.90E+11,3.19E+11,1.796481421
France,FRA,1996,YR1996,1.11E+12,5.1155225,1.374197072,1.898887241,2.96E+11,3.32E+11,1.982883651
France,FRA,1997,YR1997,1.15E+12,5.836691667,1.590178586,2.448440902,3.19E+11,3.74E+11,1.20394294
France,FRA,1998,YR1998,1.20E+12,5.899515667,1.971962267,3.05304226,3.58E+11,4.06E+11,0.651126868
France,FRA,1999,YR1999,1.24E+12,0.938283072,3.091716021,8.435339206,3.82E+11,4.27E+11,0.537141639
France,FRA,2000,YR2000,1.32E+12,1.082705081,3.041170274,12.75543001,4.38E+11,4.81E+11,1.675959887
France,FRA,2001,YR2001,1.37E+12,1.116533086,3.658997905,6.375834179,4.49E+11,4.95E+11,1.634780795
France,FRA,2002,YR2002,1.42E+12,1.057558996,3.454135963,3.551423375,4.59E+11,5.05E+11,1.923412287
France,FRA,2003,YR2003,1.46E+12,0.884047927,2.307824826,2.865992326,4.62E+11,4.98E+11,2.098472191
France,FRA,2004,YR2004,1.52E+12,0.803921648,1.687774472,2.897069364,4.90E+11,5.25E+11,2.142089646
France,FRA,2005,YR2005,1.58E+12,0.803800192,3.883730658,5.419228703,5.21E+11,5.47E+11,1.745869364
France,FRA,2006,YR2006,1.65E+12,0.796432731,3.406461183,5.627585103,5.51E+11,5.76E+11,1.675124496
France,FRA,2007,YR2007,1.74E+12,0.7296724,3.154494499,4.978769367,5.81E+11,5.92E+11,1.48799806
France,FRA,2008,YR2008,1.79E+12,0.67992268,2.323267,4.64668224,5.88E+11,5.96E+11,2.812861949
France,FRA,2009,YR2009,1.74E+12,0.716957702,0.682311493,3.285776103,5.36E+11,5.34E+11,0.087620478
France,FRA,2010,YR2010,1.79E+12,0.75430899,1.46961673,2.742034223,5.82E+11,5.79E+11,1.531122704
France,FRA,2011,YR2011,1.85E+12,0.718413899,1.540052933,2.246487619,6.16E+11,6.17E+11,2.111597952
France,FRA,2012,YR2012,1.87E+12,0.77833812,1.227900715,1.938674526,6.18E+11,6.33E+11,1.954195316
France,FRA,2013,YR2013,1.89E+12,0.752945123,1.188234049,1.149707308,6.35E+11,6.50E+11,0.863715498
France,FRA,2014,YR2014,1.92E+12,0.752728197,0.176974175,2.15340598,6.62E+11,6.67E+11,0.507758823
France,FRA,2015,YR2015,1.96E+12,0.901296423,1.76596183,3.245235006,7.00E+11,6.98E+11,0.037514381
France,FRA,2016,YR2016,1.98E+12,0.903421436,1.442003214,2.947751199,7.27E+11,7.12E+11,0.183334861
France,FRA,2017,YR2017,2.03E+12,0.885205508,1.689280722,1.88141631,7.59E+11,7.44E+11,1.032282751
France,FRA,2018,YR2018,2.08E+12,0.846772667,2.785941846,5.029908474,7.83E+11,7.72E+11,1.850815083
France,FRA,2019,YR2019,2.15E+12,0.893276257,1.964869433,3.110189032,7.98E+11,7.88E+11,1.108254923
France,FRA,2020,YR2020,2.06E+12,0.875506397,0.731471704,1.085254088,7.01E+11,6.57E+11,0.476498853
France,FRA,2021,YR2021,2.21E+12,0.845494139,3.304053122,3.985080784,7.59E+11,7.32E+11,1.64233141
France,FRA,2022,YR2022,2.37E+12,0.949623753,3.918564455,3.162721247,8.25E+11,7.92E+11,5.222367484
France,FRA,2023,YR2023,2.54E+12,0.924839558,0.288462114,1.28828431,8.28E+11,8.08E+11,4.878357265
Canada,CAN,1974,YR1974,1.46E+11,0.978017526,2.313486932,0.843114808,1.25E+11,1.23E+11,10.99717115
Canada,CAN,1975,YR1975,1.68E+11,1.017159263,1.941398989,0.716349126,1.21E+11,1.13E+11,10.6721886
Canada,CAN,1976,YR1976,1.93E+11,0.986028304,1.182371858,0.483708038,1.28E+11,1.22E+11,7.54173863
Canada,CAN,1977,YR1977,2.14E+11,1.063441611,1.588048428,0.768102939,1.27E+11,1.30E+11,7.976445396
Canada,CAN,1978,YR1978,2.38E+11,1.140659171,1.704973109,1.038083312,1.32E+11,1.43E+11,8.973723352
Canada,CAN,1979,YR1979,2.72E+11,1.171424496,2.176273141,1.56978105,1.41E+11,1.48E+11,9.144676979
Canada,CAN,1980,YR1980,3.08E+11,1.169226867,2.11563483,1.48972589,1.36E+11,1.50E+11,10.12922051
Canada,CAN,1981,YR1981,3.46E+11,1.198903121,0.216022152,1.804931105,1.40E+11,1.52E+11,12.47161241
Canada,CAN,1982,YR1982,3.65E+11,1.233734912,0.028622874,0.753579998,1.18E+11,1.50E+11,10.7689719
Canada,CAN,1983,YR1983,3.98E+11,1.232411827,1.350984397,1.534977894,1.30E+11,1.59E+11,5.86358803
Canada,CAN,1984,YR1984,4.37E+11,1.295065611,1.590964034,1.285154785,1.52E+11,1.88E+11,4.304778304
Canada,CAN,1985,YR1985,4.71E+11,1.365507392,0.343202681,1.028010803,1.65E+11,1.97E+11,3.962030541
Canada,CAN,1986,YR1986,4.92E+11,1.389471059,0.71494162,0.88786109,1.76E+11,2.06E+11,4.194786291
Canada,CAN,1987,YR1987,5.36E+11,1.325982582,1.98490567,1.755397412,1.85E+11,2.12E+11,4.356108712
Canada,CAN,1988,YR1988,5.82E+11,1.230700847,1.412776248,1.442128956,2.10E+11,2.32E+11,4.028234149
Canada,CAN,1989,YR1989,6.20E+11,1.183972084,1.264368354,1.131009589,2.23E+11,2.34E+11,4.9836219
Canada,CAN,1990,YR1990,6.46E+11,1.166773627,1.409503772,1.015036591,2.27E+11,2.44E+11,4.780476933
Canada,CAN,1991,YR1991,6.50E+11,1.145725844,0.573724263,1.057347141,2.32E+11,2.49E+11,5.625864086
Canada,CAN,1992,YR1992,6.65E+11,1.20872292,1.180751906,0.973819828,2.45E+11,2.67E+11,1.490132904
Canada,CAN,1993,YR1993,6.92E+11,1.290087882,0.721601695,0.887830649,2.63E+11,2.96E+11,1.865079365
Canada,CAN,1994,YR1994,7.35E+11,1.365673448,1.645162877,1.831326065,2.85E+11,3.34E+11,0.165562914
Canada,CAN,1995,YR1995,7.71E+11,1.372445418,2.253873035,2.612129632,3.01E+11,3.64E+11,2.148760331
Canada,CAN,1996,YR1996,7.98E+11,1.363521636,1.398281933,1.948822323,3.18E+11,3.85E+11,1.570531125
Canada,CAN,1997,YR1997,8.41E+11,1.384598028,2.317969735,4.080796973,3.63E+11,4.18E+11,1.621216381
Canada,CAN,1998,YR1998,8.71E+11,1.483505302,3.939938217,5.733232457,3.83E+11,4.58E+11,0.995942457
Canada,CAN,1999,YR1999,9.34E+11,1.485704819,4.04710364,2.937679521,4.14E+11,5.08E+11,1.734842951
Canada,CAN,2000,YR2000,1.03E+12,1.485394095,9.171024287,6.263691864,4.49E+11,5.53E+11,2.719439957
Canada,CAN,2001,YR2001,1.07E+12,1.548839955,3.841921293,4.984136699,4.27E+11,5.38E+11,2.52512014
Canada,CAN,2002,YR2002,1.11E+12,1.570342834,3.219147678,3.843512818,4.35E+11,5.45E+11,2.258394409
Canada,CAN,2003,YR2003,1.17E+12,1.401014548,0.782967555,2.616225271,4.53E+11,5.36E+11,2.758563214
Canada,CAN,2004,YR2004,1.24E+12,1.301281595,0.141465896,4.365776022,4.92E+11,5.65E+11,1.857258719
Canada,CAN,2005,YR2005,1.32E+12,1.211405134,2.178163809,2.325412695,5.28E+11,5.78E+11,2.213552034
Canada,CAN,2006,YR2006,1.40E+12,1.134344726,4.87410129,3.816692472,5.56E+11,5.83E+11,2.002025395
Canada,CAN,2007,YR2007,1.47E+12,1.074045622,8.200559049,4.434938198,5.88E+11,5.90E+11,2.138383993
Canada,CAN,2008,YR2008,1.56E+12,1.067086918,4.515137142,5.710829205,5.94E+11,5.63E+11,2.370270674
